'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 58', '2019, 7, 24, 0, 44, 59'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 59', '2019, 7, 24, 0, 44, 59'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 59', '2019, 7, 24, 0, 45, 0'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 0', '2019, 7, 24, 0, 45, 1'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 1', '2019, 7, 24, 0, 45, 2'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 2', '2019, 7, 24, 0, 45, 3'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 3', '2019, 7, 24, 0, 45, 4'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 4', '2019, 7, 24, 0, 45, 5'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 5', '2019, 7, 24, 0, 45, 6'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 7', '2019, 7, 24, 0, 45, 8'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 8', '2019, 7, 24, 0, 45, 9'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 9', '2019, 7, 24, 0, 45, 10'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 10', '2019, 7, 24, 0, 45, 10'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 11', '2019, 7, 24, 0, 45, 12'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 12', '2019, 7, 24, 0, 45, 12'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 12', '2019, 7, 24, 0, 45, 12'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 12', '2019, 7, 24, 0, 45, 14'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 14', '2019, 7, 24, 0, 45, 14'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 14', '2019, 7, 24, 0, 45, 16'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 16', '2019, 7, 24, 0, 45, 17'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 17', '2019, 7, 24, 0, 45, 18'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 18', '2019, 7, 24, 0, 45, 20'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 20', '2019, 7, 24, 0, 45, 21'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 21', '2019, 7, 24, 0, 45, 21'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 21', '2019, 7, 24, 0, 45, 23'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 23', '2019, 7, 24, 0, 45, 24'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 24', '2019, 7, 24, 0, 45, 25'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 25', '2019, 7, 24, 0, 45, 26'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 26', '2019, 7, 24, 0, 45, 27'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 27', '2019, 7, 24, 0, 45, 28'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 28', '2019, 7, 24, 0, 45, 30'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 30', '2019, 7, 24, 0, 45, 31'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 31', '2019, 7, 24, 0, 45, 32'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 32', '2019, 7, 24, 0, 45, 32'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 32', '2019, 7, 24, 0, 45, 33'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 33', '2019, 7, 24, 0, 45, 33'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 33', '2019, 7, 24, 0, 45, 34'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 34', '2019, 7, 24, 0, 45, 35'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 35', '2019, 7, 24, 0, 45, 37'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 37', '2019, 7, 24, 0, 45, 38'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 38', '2019, 7, 24, 0, 45, 39'
