"id","order_type","seq_no","status_type_val","pr_order_no","sa_order_line_no","company_name","to_item_no","due_dt","toshop_dt","process_by_dt","order_qty,order_uom","form_dim1","form_dim2","form_dim3","form_dim4","form_dim5","form_dim6","dim1","dim2","dim3","dim4","dim5","dim6","dim_uom","pr_center_no","short_desc","instruction"
DOT PEEN EACH BLOCK WITH THE FOLLOWING INFORMATION
MO#, PO#, HEAT LOT, PART#, ALLOY AND TEMPER"
"4-MO0000120WK-200-520","MFG","200","Scheduled","MO0000120WK","WO0145081-1/1","Benchmark Electronics","6061 9.75 T651 PLATE  0035-00626","3/27/23","2/27/23","3/27/23","10 ea","9.75","","","","","","","","","","","","in","BUR-Hyundai F750B","Hyundai F750B","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
MACHINE BLOCKS TO PRINT
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000142WK-100-575","MFG","100","Unscheduled","MO0000142WK","","","6061 12.0 T651 PLATE 0035-01010","3/24/23","3/6/23","3/24/23","80 ea","12","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","PULL MARKED 12.0" PLATE
CUT SIZE 25.5 X 21.0
CUT TOLERANCE +.125/-0
MARK HEAT LOT ON ALL PIECES"
"4-MO0000142WK-200-577","MFG","200","Unscheduled","MO0000142WK","","","6061 12.0 T651 PLATE 0035-01010","3/24/23","3/6/23","3/24/23","80 ea","12","","","","","","","","","","","","in","BUR-Hyundai KH1000","Hyundai KH1000","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
VERIFY HEAT LOTS
MEASURE BLOCKS BEFORE LOADING MATERIAL
PULL/PRINT AND REVIEW SET-UP DOCS FOR OPS 1 AND 2
VERIFY CORRECT PROGRAMS ARE LOADED IN MACHINE
MACHINE BLOCKS TO PRINT 0035-01010 REV 02
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000144WK-100-596","MFG","100","Scheduled","MO0000144WK","WO0146100-1/1","Benchmark Electronics","6061 9.75 T651 PLATE  0035-00626","3/31/23","3/7/23","3/31/23","24 ea","9.75","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","PULL MARKED 9.75" PLATE
CUT SIZE 21.48 X 41.78
CUT TOLERANCE +.120/-0
DOT PEEN EACH BLOCK WITH THE FOLLOWING INFORMATION
MO#, PO#, HEAT LOT, PART#, ALLOY AND TEMPER"
"4-MO0000144WK-200-593","MFG","200","Scheduled","MO0000144WK","WO0146100-1/1","Benchmark Electronics","6061 9.75 T651 PLATE  0035-00626","3/31/23","3/7/23","3/31/23","24 ea","9.75","","","","","","","","","","","","in","BUR-Hyundai F750B","Hyundai F750B","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
MACHINE BLOCKS TO PRINT
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000145WK-100-599","MFG","100","Scheduled","MO0000145WK","WO0148203-1/10","K&B Industries","6061 24.75" T6 FORGING 0035-00652-T6","4/6/23","3/7/23","4/6/23","5 ea","24.75","","","","","","","","","","","","in","BUR-Visionwide 3116","Visionwide 3116","PULL MARKED RAW BLOCKS
RECORD EACH BLOCK LENGTH AND WIDTH OF STARTING BLOCK
PULL/PRINT AND REVIEW SET-UP DOC
VERIFY CORRECT PROGRAM IS LOADED IN MACHINE
MACHINE PARTS TO PRINT 0035-00652 SYM 3 REV 04"
